material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements,stability_raw,band_gap_raw,density_raw,final_score,stability_score,band_gap_score,density_score,rag_status
mp-1008559,BP,0.014076364999999,1.0624,2.979764368566962,46.57095065738511,Hexagonal,"B, P",10.0,2.115,92.5,20.891880999,2,0.9861190286197045,1.0624,0.7979764368566962,0.6466532212405808,0.8465812054622752,0.21248,0.7980930925472158,Amber
mp-8880,AlP,0.004434354999999,1.9532999999999991,2.347986071086355,81.97411556050663,Hexagonal,"Al, P",14.0,1.9,112.5,28.977650249,2,0.995585221694255,1.9532999999999991,0.7347986071086355,0.7397821387977807,0.9512058668473191,0.39065999999999984,0.7349060268706059,Green
mp-8882,GaP,0.008458759999999,1.3002,4.131501206922352,80.94438258953409,Hexagonal,"Ga, P",23.0,2.0,115.0,50.348380999,2,0.99161219046776,1.3002,0.9131501206922352,0.7143157841449472,0.9072941228684446,0.26004,0.9132836135536248,Green
mp-966800,InP,0.003933715000002,0.527999999999999,4.704869604456656,102.91163698144938,Hexagonal,"In, P",32.0,1.985,127.5,72.895880999,2,0.996081698481456,0.527999999999999,0.9704869604456656,0.7041523438631616,0.9566931535883931,0.1055999999999998,0.9706288353448257,Green
mp-1185593,Mg149P,0.0160183942,0.000299999999999,1.7656751270282771,3434.937689863417,Hexagonal,"Mg, P",13.5,1.75,125.0,27.639380999,2,0.9842341494096544,0.000299999999999,0.6765675127028277,0.5482256164998317,0.8257486651210701,5.999999999980001e-05,0.6766664196964833,Amber
mp-1187244,TaP,0.003252249999999,0.0,11.12875949461362,31.621149308630745,Hexagonal,"P, Ta",44.0,1.845,122.5,105.960820999,2,0.9967582928421053,0.0,0.38712405053863796,0.5595217195357477,0.9641711814841347,0.0,0.3871806439684017,Amber
mp-219,MoP,0.0,0.0,7.308129077004535,28.83710148925764,Hexagonal,"Mo, P",28.5,2.175,122.5,63.461880999,2,1.0,0.0,0.7691870922995465,0.6538599078586551,1.0,0.0,0.7692995392932754,Amber
mp-13446,Co2P,0.021158108611109,0.0,7.824430474983884,94.76276434363405,Hexagonal,"Co, P",21.0,2.035,117.5,44.953477999,2,0.9792802814444803,0.0,0.7175569525016117,0.5290305045567039,0.7709962684267797,0.0,0.7176618517165697,Amber
mp-1345,CaP,0.0,0.3443,2.438949924979277,290.25005887179367,Hexagonal,"Ca, P",17.5,1.595,140.0,35.525880999,2,1.0,0.3443,0.7438949924979277,0.6694587484109904,1.0,0.06886,0.7440037420549519,Amber
mp-1849,Mn2P,0.0,0.0,6.7747396077434665,103.57003898873002,Hexagonal,"Mn, P",20.0,1.87,120.0,42.955902999,2,1.0,0.0,0.8225260392256534,0.6645292567615259,1.0,0.0,0.822646283807629,Amber
mp-21167,Ni2P,0.002234260314008,0.0,7.553723583612449,97.84254338278858,Hexagonal,"Ni, P",21.5,2.05,117.5,44.833580999,2,0.9977707204767596,0.0,0.7446276416387552,0.6366277952187839,0.9753609911170429,0.0,0.7447364983013123,Amber
mp-96,S,0.000947845625001,2.748,1.8948374962445031,899.2042490263103,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.999053051935579,2.748,0.6894837496244504,0.7975638591121498,0.9895339002903256,0.5496000000000001,0.6895845448349347,Green
mp-556269,S,0.031339838715279,2.3783,1.951096882146262,1964.870823542651,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9696125006144255,2.3783,0.6951096882146262,0.6138120450217048,0.6641435676923475,0.47565999999999997,0.6952113058776551,Amber
mp-557488,S,0.012285684965277,2.4187,1.9296226153023,993.3686792517286,Monoclinic,S,16.0,2.58,100.0,32.06,1,0.9878634212181925,2.4187,0.69296226153023,0.7166652250640175,0.8658610240231326,0.48374,0.6930635652622565,Green
