material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements
mp-556225,Ag2S,2.027000000026646e-05,1.0853,6.697040973874489,122.88528831267232,Monoclinic,"Ag, S",31.5,2.255,130.0,69.9641,2
mp-7819,Pd4S,0.002573407999999,0.0,10.165853472077288,149.54050973262704,Tetragonal,"Pd, S",31.0,2.39,120.0,69.24000000000001,2
mp-1225993,Cu2S,0.061917154375001,1.2158,3.478881184761393,151.93759268382877,Monoclinic,"Cu, S",22.5,2.24,117.5,47.803,2
mp-2014814,Cu2S,0.072544916458332,0.9229,4.432904368398873,119.23849208518529,Monoclinic,"Cu, S",22.5,2.24,117.5,47.803,2
mp-726184,PbS,0.058972919999998,1.719399999999999,2.699717198511583,294.3337027960518,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2
mp-727323,PbS,0.058041917499998,1.654,3.997078643102825,198.79963105335787,Monoclinic,"Pb, S",49.0,2.19,140.0,119.63,2
mp-975,SF6,0.0,5.9124,2.8028887884988443,259.5865349336243,Monoclinic,"F, S",12.5,3.2800000000000002,75.0,25.5292015815,2
mp-7945,V3S,0.012825134375001,0.0,6.122752172541642,200.57400927053612,Tetragonal,"S, V",19.5,2.105,117.5,41.50075,2
mp-2350391,PbS,0.059099277499999,1.6745,3.893559459289583,204.085173951622,Tetragonal,"Pb, S",49.0,2.19,140.0,119.63,2
mp-2766207,Ag2S,0.013546961666666,0.6684999999999991,6.087581006200281,135.18798519118562,Tetragonal,"Ag, S",31.5,2.255,130.0,69.9641,2
mp-1217152,Ti2O,0.06440852,0.0,4.970669312336571,111.97949255056866,Monoclinic,"O, Ti",15.0,2.49,100.0,31.933,2
mp-32959,H2O,0.025225045,5.275399999999999,1.647356170145688,36.31889299700384,Tetragonal,"H, O",4.5,2.8200000000000003,42.5,8.5035,2
mp-530033,B8O,0.022155400370371,2.4459,2.542099350741202,401.6782384637485,Monoclinic,"B, O",6.5,2.74,72.5,13.4045,2
mp-556859,HgO,0.000508464374999,1.214,9.877796448579687,291.2837185772689,Monoclinic,"Hg, O",44.0,2.67,105.0,108.2955,2
mp-1203,TiO,0.052573148,0.0,4.934842399291236,107.45292722857164,Monoclinic,"O, Ti",15.0,2.49,100.0,31.933,2
mp-1218065,Ta6O,0.03125975427619,0.0,15.785084753384506,231.7876400252598,Monoclinic,"O, Ta",40.5,2.4699999999999998,102.5,98.47344,2
mp-1287184,VO,0.026801248958333,1.9785,5.594731491792294,79.47332576473944,Monoclinic,"O, V",15.5,2.535,97.5,33.47025,2
mp-1975297,Na2O,0.098124611666667,1.6666999999999992,2.1778206941990232,94.51508033072896,Monoclinic,"Na, O",9.5,2.185,120.0,19.49438464,2
mp-551470,Tl2O,4.3133333335276816e-05,0.5194000000000001,9.872476803873909,142.89029008133875,Monoclinic,"O, Tl",44.5,2.62,125.0,110.1895,2
mp-758933,B8O,0.025976052222222,2.3536,2.533458900688488,403.0481761231931,Monoclinic,"B, O",6.5,2.74,72.5,13.4045,2
mp-998914,K2O,0.041150101666666,0.8801,2.149151487134136,145.56083093478628,Monoclinic,"K, O",13.5,2.13,140.0,27.548650000000002,2
mp-1219175,Sm2O,0.098146226805553,0.0,8.371442854907846,62.82369072635824,Tetragonal,"O, Sm",35.0,2.3049999999999997,122.5,83.1795,2
mp-1273331,VO,0.062567065208332,0.8225,5.163733621982276,86.10667221884472,Tetragonal,"O, V",15.5,2.535,97.5,33.47025,2
mp-19921,PbO,0.0,1.4635999999999991,8.81022542720316,84.13662656060738,Tetragonal,"O, Pb",45.0,2.62,120.0,111.59949999999999,2
mp-2097,SnO,0.0,0.4096,6.294342860686033,71.07659251782975,Tetragonal,"O, Sn",29.0,2.7,102.5,67.3545,2
mp-1336,PdO,0.0,0.0,8.117605863761803,50.08427352138736,Tetragonal,"O, Pd",27.0,2.8200000000000003,100.0,61.2095,2
mp-2803876,AgO,0.0,0.0,6.730482161807199,61.1210263814898,Tetragonal,"Ag, O",27.5,2.685,110.0,61.9336,2
mp-755073,CrO,0.005067494166667,0.0,4.800886276421006,94.07361691322753,Tetragonal,"Cr, O",16.0,2.55,100.0,33.99755,2
mp-1974672,K2O,0.071530355,1.390399999999999,2.267417016147211,551.8742675814266,Tetragonal,"K, O",13.5,2.13,140.0,27.548650000000002,2
